mean_xai_power,mean_random_power,incremental_power,cohens_d,practical_significant,ci_lower_95,ci_upper_95,r2_score,pearson_r,spearman_r,r2_note,cv_mean_xai_power,cv_std_xai_power,cv_folds,method,dataset,top_k,n_instances,n_bootstrap,random_seed,model
0.1316,0.0796,0.052,0.5546,True,0.1244,0.1393,0.9999,1.0,0.7225,R²→1.0 is expected for SHAP by additive construction. Use incremental_power and cohens_d for comparisons.,0.1316,0.0087,5,SHAP,IDS2025_Balanced,10,1000,2000,42,RF
0.1181,0.0796,0.0384,0.5068,True,0.1128,0.1238,-6.9536,0.063,0.1155,,0.1181,0.0058,5,LIME,IDS2025_Balanced,10,1000,2000,42,RF
-0.0254,0.0004,-0.0259,-0.4154,False,-0.0455,-0.0091,-34.2297,0.3352,0.5964,,-0.0254,0.0132,5,LIME,IDS2025_Balanced,10,50,2000,42,Transformer
0.0249,0.0004,0.0245,0.221,False,-0.0104,0.0671,0.24,0.6575,0.6877,R²→1.0 is expected for SHAP by additive construction. Use incremental_power and cohens_d for comparisons.,0.0249,0.0306,5,SHAP,IDS2025_Balanced,10,50,2000,42,Transformer
0.0055,0.0004,0.0051,0.0662,False,-0.0193,0.0328,-1052.9997,-0.0625,-0.1028,,0.0055,0.024,5,IntegratedGradients,IDS2025_Balanced,10,50,2000,42,Transformer
-0.0087,0.0004,-0.0091,-0.1445,False,-0.0291,0.0075,0.0102,0.1274,-0.0242,,-0.0087,0.0116,5,Attention,IDS2025_Balanced,10,50,2000,42,Transformer
-0.3525,-0.3175,-0.035,-0.1523,False,-0.3682,-0.3357,-1978704.553,0.1734,-0.2909,R²→1.0 is expected for SHAP by additive construction. Use incremental_power and cohens_d for comparisons.,-0.3525,0.0258,5,SHAP,IDS2025_Balanced,10,1000,2000,42,LR
-0.2235,-0.3175,0.0939,0.4862,False,-0.2356,-0.2117,-1.0394,0.3092,0.3007,,-0.2235,0.0184,5,LIME,IDS2025_Balanced,10,1000,2000,42,LR
0.0028,0.0009,0.002,0.0218,False,-0.023,0.0311,-0.2211,-0.1391,-0.2082,,0.0028,0.0266,5,LIME,IDS2025_Balanced,10,50,2000,42,LSTM
0.0363,0.0009,0.0354,0.3003,False,-0.0031,0.0773,-0.0,-0.0149,-0.2803,,0.0363,0.0322,5,Attention,IDS2025_Balanced,10,50,2000,42,LSTM
0.0267,0.0009,0.0258,0.2098,False,-0.0134,0.07,0.6733,0.8602,0.8169,R²→1.0 is expected for SHAP by additive construction. Use incremental_power and cohens_d for comparisons.,0.0267,0.0389,5,SHAP,IDS2025_Balanced,10,50,2000,42,LSTM
-0.0164,0.0009,-0.0173,-0.2005,False,-0.0429,0.0081,-4486.8769,-0.3278,-0.1873,,-0.0164,0.0211,5,IntegratedGradients,IDS2025_Balanced,10,50,2000,42,LSTM
0.0011,0.0076,-0.0065,-0.412,False,-0.0019,0.004,-989.581,-0.4396,-0.6228,,0.0011,0.0021,5,Anchors,IDS2025_Balanced,10,30,2000,42,XGB
-0.0005,0.0076,-0.0081,-0.5036,True,-0.0039,0.0024,-14271.9892,0.4479,0.9183,R²→1.0 is expected for SHAP by additive construction. Use incremental_power and cohens_d for comparisons.,-0.0005,0.0023,5,SHAP,IDS2025_Balanced,10,30,2000,42,XGB
-0.001,0.0076,-0.0087,-0.4945,False,-0.0061,0.0033,-139.0716,0.2398,0.2333,,-0.001,0.0031,5,LIME,IDS2025_Balanced,10,30,2000,42,XGB
0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,R²→1.0 is expected for SHAP by additive construction. Use incremental_power and cohens_d for comparisons.,0.0,0.0,5,SHAP,IDS2025_Balanced,10,30,2000,42,DT
0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,,0.0,0.0,5,LIME,IDS2025_Balanced,10,30,2000,42,DT
0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,,,,0.0,0.0,5,Anchors,IDS2025_Balanced,10,30,2000,42,DT
