dataset,method,model,attack_class,rank,feature,mean_abs_importance,n_samples
CIC_IIoT_2025,LIME,RF,mitm,2,network_ports_all_count,0.018446,76
CIC_IIoT_2025,LIME,RF,mitm,3,network_packets_all_count,0.018124,76
CIC_IIoT_2025,LIME,RF,mitm,4,network_ports_src_count,0.016188,76
CIC_IIoT_2025,LIME,RF,mitm,5,network_tcp_flags_syn_count,0.014264,76
CIC_IIoT_2025,LIME,RF,mitm,6,network_packets_dst_count,0.012782,76
CIC_IIoT_2025,LIME,RF,mitm,7,network_header_length_min,0.011012,76
CIC_IIoT_2025,LIME,RF,mitm,8,network_interval_packets,0.010924,76
CIC_IIoT_2025,LIME,RF,mitm,9,network_tcp_flags_rst_count,0.010131,76
CIC_IIoT_2025,LIME,RF,mitm,10,network_mss_min,0.008915,76
CIC_IIoT_2025,LIME,RF,recon,1,network_ttl_min,0.069973,13
CIC_IIoT_2025,LIME,RF,recon,2,network_packet_size_min,0.05949,13
CIC_IIoT_2025,LIME,RF,recon,3,network_packets_dst_count,0.044784,13
CIC_IIoT_2025,LIME,RF,recon,4,network_packets_all_count,0.035722,13
CIC_IIoT_2025,LIME,RF,recon,5,network_tcp_flags_std_deviation,0.020539,13
CIC_IIoT_2025,LIME,RF,recon,6,network_header_length_min,0.018584,13
CIC_IIoT_2025,LIME,RF,recon,7,network_ports_src_count,0.018569,13
CIC_IIoT_2025,LIME,RF,recon,8,network_mss_min,0.018301,13
CIC_IIoT_2025,LIME,RF,recon,9,network_ports_all_count,0.015479,13
CIC_IIoT_2025,LIME,RF,recon,10,network_tcp_flags_syn_count,0.013593,13
CIC_IIoT_2025,LIME,RF,web,1,device_name,0.012532,24
CIC_IIoT_2025,LIME,RF,web,2,device_mac,0.011216,24
CIC_IIoT_2025,LIME,RF,web,3,network_tcp_flags_fin_count,0.008474,24
CIC_IIoT_2025,LIME,RF,web,4,network_ttl_min,0.006683,24
CIC_IIoT_2025,LIME,RF,web,5,network_packet_size_min,0.005777,24
CIC_IIoT_2025,LIME,RF,web,6,network_mss_min,0.005764,24
CIC_IIoT_2025,LIME,RF,web,7,network_header_length_min,0.005676,24
CIC_IIoT_2025,LIME,RF,web,8,network_macs_all,0.004999,24
CIC_IIoT_2025,LIME,RF,web,9,network_tcp_flags_std_deviation,0.004981,24
CIC_IIoT_2025,LIME,RF,web,10,network_ports_all,0.00456,24
CIC_IIoT_2025,LIME,XGB,ddos,1,network_header_length_avg,0.139366,424
CIC_IIoT_2025,LIME,XGB,ddos,2,network_macs_dst_count,0.132489,424
CIC_IIoT_2025,LIME,XGB,ddos,3,network_macs_src,0.117667,424
CIC_IIoT_2025,LIME,XGB,ddos,4,network_macs_all,0.105465,424
CIC_IIoT_2025,LIME,XGB,ddos,5,log_data_types_count,0.077723,424
CIC_IIoT_2025,LIME,XGB,ddos,6,network_header_length_min,0.062933,424
CIC_IIoT_2025,LIME,XGB,ddos,7,network_ports_all,0.054397,424
CIC_IIoT_2025,LIME,XGB,ddos,8,network_tcp_flags_ack_count,0.05355,424
CIC_IIoT_2025,LIME,XGB,ddos,9,log_interval_messages,0.048344,424
CIC_IIoT_2025,LIME,XGB,ddos,10,network_tcp_flags_syn_count,0.046774,424
CIC_IIoT_2025,LIME,XGB,dos,1,network_interval_packets,0.240406,463
CIC_IIoT_2025,LIME,XGB,dos,2,network_header_length_avg,0.20579,463
CIC_IIoT_2025,LIME,XGB,dos,3,network_ports_all,0.11153,463
CIC_IIoT_2025,LIME,XGB,dos,4,log_data_types_count,0.090077,463
CIC_IIoT_2025,LIME,XGB,dos,5,network_tcp_flags_psh_count,0.085134,463
CIC_IIoT_2025,LIME,XGB,dos,6,network_tcp_flags_syn_count,0.079791,463
CIC_IIoT_2025,LIME,XGB,dos,7,network_header_length_min,0.079519,463
CIC_IIoT_2025,LIME,XGB,dos,8,device_name,0.076595,463
CIC_IIoT_2025,LIME,XGB,dos,9,network_ports_all_count,0.071968,463
CIC_IIoT_2025,LIME,XGB,dos,10,network_ttl_min,0.065769,463
CIC_IIoT_2025,LIME,XGB,mitm,1,log_messages_count,0.058005,76
CIC_IIoT_2025,LIME,XGB,mitm,2,network_ports_all_count,0.050465,76
CIC_IIoT_2025,LIME,XGB,mitm,3,network_header_length_avg,0.041789,76
CIC_IIoT_2025,LIME,XGB,mitm,4,network_tcp_flags_rst_count,0.031268,76
CIC_IIoT_2025,LIME,XGB,mitm,5,network_header_length_min,0.022833,76
CIC_IIoT_2025,LIME,XGB,mitm,6,network_header_length_max,0.02147,76
CIC_IIoT_2025,LIME,XGB,mitm,7,network_ttl_max,0.021398,76
CIC_IIoT_2025,LIME,XGB,mitm,8,network_interval_packets,0.01853,76
CIC_IIoT_2025,LIME,XGB,mitm,9,network_packets_dst_count,0.014572,76
CIC_IIoT_2025,LIME,XGB,mitm,10,network_ports_src_count,0.014189,76
CIC_IIoT_2025,LIME,XGB,recon,1,network_ttl_min,0.260754,13
CIC_IIoT_2025,LIME,XGB,recon,2,network_tcp_flags_std_deviation,0.097357,13
CIC_IIoT_2025,LIME,XGB,recon,3,network_header_length_avg,0.090024,13
CIC_IIoT_2025,LIME,XGB,recon,4,log_data_types_count,0.067702,13
CIC_IIoT_2025,LIME,XGB,recon,5,network_header_length_min,0.062645,13
CIC_IIoT_2025,LIME,XGB,recon,6,network_packets_dst_count,0.056902,13
CIC_IIoT_2025,LIME,XGB,recon,7,network_packets_all_count,0.054957,13
CIC_IIoT_2025,LIME,XGB,recon,8,device_name,0.04725,13
